City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
225,Bestobe,52.4994,73.0975,9.01,92,17,1.54,KZ,few clouds
226,Saint Anthony,45.0205,-93.218,26.38,82,100,18.41,US,overcast clouds
227,Kieta,-6.2167,155.6333,84.52,69,98,4.23,PG,overcast clouds
228,Noyabrsk,63.1994,75.4507,4.86,74,100,27.92,RU,overcast clouds
229,Banff,51.1762,-115.5698,18.63,35,50,5.75,CA,scattered clouds
230,Ossora,59.2353,163.0719,16.7,77,3,7.29,RU,clear sky
231,Dingle,10.9995,122.6711,78.15,90,100,10.98,PH,overcast clouds
232,Nelson Bay,-32.7167,152.15,68.09,65,53,11.99,AU,broken clouds
233,Dalvik,65.9702,-18.5286,35.53,85,79,12.26,IS,broken clouds
234,Dikson,73.5069,80.5464,2.03,95,100,18.77,RU,light snow
235,Coihaique,-45.5752,-72.0662,57.81,82,75,5.75,CL,light intensity shower rain
236,Boksitogorsk,59.474,33.8485,24.6,86,57,7.31,RU,broken clouds
237,Milkovo,54.7167,158.6167,11.71,83,11,2.19,RU,few clouds
238,Comodoro Rivadavia,-45.8667,-67.5,76.86,27,0,18.41,AR,clear sky
239,Okha,53.5739,142.9478,18.01,82,67,6.38,RU,broken clouds
240,Yongan,39.6957,113.6871,40.19,50,100,6.85,CN,overcast clouds
241,Ribeira Grande,38.5167,-28.7,56.77,69,15,5.01,PT,few clouds
242,Takoradi,4.8845,-1.7554,78.13,83,74,7.09,GH,broken clouds
243,Vardo,70.3705,31.1107,39.18,81,100,10.36,NO,overcast clouds
244,Hirna,9.2167,41.1,59.16,61,13,1.88,ET,few clouds
245,Kamenka,51.3223,42.7678,35.51,100,100,5.93,RU,overcast clouds
246,Dinanagar,32.15,75.4667,56.17,44,0,4.32,IN,clear sky
247,Ulaangom,49.9811,92.0667,19.35,92,100,6.85,MN,light snow
248,Ngunguru,-35.6167,174.5,66.67,82,58,14.88,NZ,light rain
249,Galle,6.0367,80.217,74.5,85,95,6.35,LK,overcast clouds
250,Daro,8.5185,-9.569,63.81,70,43,1.28,GN,scattered clouds
251,Ofaqim,31.3141,34.6203,62.13,67,0,4.34,IL,clear sky
252,Potamia,40.7163,24.7286,59.65,76,86,1.61,GR,overcast clouds
253,Yulara,-25.2406,130.9889,81.12,52,2,16.58,AU,clear sky
254,Inhambane,-23.865,35.3833,74.14,70,10,6.98,MZ,clear sky
255,Beringovskiy,63.05,179.3167,24.91,92,98,1.95,RU,overcast clouds
256,Koumac,-20.5667,164.2833,81.54,63,91,7.14,NC,overcast clouds
257,Banjar,-8.19,114.9675,77.67,92,100,8.48,ID,overcast clouds
258,Show Low,34.2542,-110.0298,44.89,23,0,4.61,US,clear sky
259,Cascavel,-24.9558,-53.4553,73.0,40,0,6.91,BR,clear sky
260,Daitari,21.1,85.75,60.51,56,72,4.5,IN,broken clouds
261,Piacabucu,-10.4056,-36.4344,76.98,81,8,10.71,BR,clear sky
262,Bonfim,3.0833,-59.95,84.16,61,100,3.49,BR,light rain
263,Lata,40.1629,-8.3327,58.82,95,98,4.07,PT,overcast clouds
264,Verkhnetulomskiy,68.6073,31.7962,24.93,91,100,0.81,RU,overcast clouds
265,Cabo San Lucas,22.8909,-109.9124,79.61,64,91,1.01,MX,overcast clouds
266,Bengkulu,-3.8004,102.2655,76.44,85,97,6.08,ID,overcast clouds
267,Bemidji,47.4736,-94.8803,19.9,90,0,9.22,US,clear sky
268,Kargil,34.5667,76.1,8.42,79,14,2.95,IN,few clouds
269,Quijingue,-10.7525,-39.2092,78.26,61,86,9.73,BR,overcast clouds
270,Vao,-22.6667,167.4833,75.78,77,100,11.95,NC,overcast clouds
271,Kerema,-7.9631,145.7785,84.25,74,100,4.83,PG,overcast clouds
272,Praya,14.9215,-23.5087,77.54,73,20,8.05,CV,few clouds
273,Bafata,12.1667,-14.75,77.0,45,100,2.93,GW,overcast clouds
274,Blackpool,53.8167,-3.05,51.35,87,100,19.91,GB,overcast clouds
275,Ryugasaki,35.9,140.1833,60.21,82,55,6.35,JP,broken clouds
276,Kuah,6.3265,99.8432,80.01,94,20,0.0,MY,few clouds
277,Nome,64.5011,-165.4064,34.16,98,100,10.07,US,snow
278,Abashiri,44.0213,144.2697,36.95,71,38,5.03,JP,scattered clouds
279,Sokol,59.4617,40.1206,17.31,77,6,8.77,RU,clear sky
280,Antofagasta,-23.65,-70.4,62.1,85,55,2.53,CL,broken clouds
281,Chinhoyi,-17.3667,30.2,69.87,46,2,4.92,ZW,clear sky
282,Vestmanna,62.1564,-7.1664,45.52,81,75,26.46,FO,broken clouds
283,Itarema,-2.9248,-39.9167,79.41,76,23,14.9,BR,few clouds
284,Clovis,36.8252,-119.7029,66.02,42,75,6.91,US,broken clouds
285,Chegutu,-18.1302,30.1407,69.55,42,0,4.74,ZW,clear sky
286,Verkhnechusovskiye Gorodki,58.1671,57.1086,7.99,92,5,2.46,RU,clear sky
287,Husavik,66.0449,-17.3389,42.67,84,61,12.64,IS,broken clouds
288,Floriano,-6.7669,-43.0225,82.17,48,53,3.04,BR,broken clouds
289,Lorengau,-2.0226,147.2712,85.28,64,100,6.85,PG,overcast clouds
290,Douentza,14.9951,-2.9517,72.57,19,59,4.05,ML,broken clouds
291,Palmares,-8.6833,-35.5917,72.19,91,61,1.86,BR,broken clouds
292,Independence,39.0911,-94.4155,36.03,57,95,8.61,US,overcast clouds
293,Kruisfontein,-34.0033,24.7314,57.45,78,100,1.77,ZA,overcast clouds
294,Beira,-19.8436,34.8389,74.39,72,0,6.93,MZ,clear sky
295,Bilibino,68.0546,166.4372,-24.81,100,98,1.12,RU,overcast clouds
296,Cidreira,-30.1811,-50.2056,67.03,81,89,8.23,BR,overcast clouds
297,Iquitos,-3.7481,-73.2472,73.38,96,95,1.03,PE,overcast clouds
298,Leh,34.1667,77.5833,13.17,58,2,2.95,IN,clear sky
299,Inirida,3.8653,-67.9239,73.24,98,98,2.77,CO,overcast clouds
300,Cabinda,-5.55,12.2,76.35,79,93,2.68,AO,overcast clouds
301,Saint-Denis,48.9167,2.3333,50.16,87,75,12.66,FR,broken clouds
302,Bambanglipuro,-7.95,110.2833,76.84,88,100,3.83,ID,overcast clouds
303,Ziway,7.9333,38.7167,61.2,56,1,8.16,ET,clear sky
304,Tura,25.5198,90.2201,60.37,86,0,4.7,IN,clear sky
305,Coos Bay,43.3665,-124.2179,52.32,84,99,3.49,US,overcast clouds
306,Sibolga,1.7427,98.7792,75.29,89,100,2.19,ID,heavy intensity rain
307,Siteki,-26.45,31.95,63.23,95,4,2.62,SZ,clear sky
308,Santander,43.4647,-3.8044,55.45,85,40,6.91,ES,scattered clouds
309,Miandrivazo,-19.5167,45.4667,76.66,81,52,2.01,MG,broken clouds
310,Port Hardy,50.6996,-127.4199,45.41,61,3,6.44,CA,clear sky
311,Taoudenni,22.6783,-3.9836,73.8,15,0,9.06,ML,clear sky
312,Umm Lajj,25.0213,37.2685,72.54,61,100,8.59,SA,overcast clouds
313,Gogrial,8.5332,28.1004,73.63,32,1,5.12,SS,clear sky
314,Ewa Beach,21.3156,-158.0072,84.85,65,100,11.99,US,overcast clouds
315,Roanne,46.0,4.0,48.74,76,68,13.18,FR,broken clouds
316,Tefe,-3.3542,-64.7114,74.3,97,100,1.54,BR,overcast clouds
